op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,rmse_per_scale
CONV_2D,992,131712.0,0.058933668,-0.0004441281,0.34399277,0.0034734404,0.20366484,-43,model/tf.math.add_67/Add;model/tf.nn.convolution_44/convolution;Const_541,0.28937690361103624
CONV_2D,1224,9408.0,0.17536987,0.00024250551,0.3449959,0.030758545,0.60615504,-43,model/tf.math.add_90/Add;model/tf.nn.convolution_59/convolution;Const_151,0.28933380160913924
MEAN,424,96.0,0.020200193,0.00043194904,0.034781206,0.000413872,0.070335746,-124,model/tf.math.reduce_mean_1/Mean,0.2892390489156871
CONV_2D,1164,9408.0,0.18167381,-0.00046817906,0.35629883,0.033009965,0.62816244,-43,model/tf.math.add_83/Add;model/tf.nn.convolution_55/convolution;Const_251,0.28923481470075274
MEAN,1196,1152.0,0.007068868,-0.00037096028,0.013101518,5.0188846e-05,0.024498131,-117,model/tf.math.reduce_mean_14/Mean,0.289181597389305
LOGISTIC,888,131712.0,0.001097258,0.00026739488,0.003906249,1.2755862e-06,0.00390625,-128,model/tf.math.sigmoid_37/Sigmoid,0.2891311418771766
MUL,716,94080.0,0.08946426,-0.05301602,0.17801385,0.010816178,0.3597768,-127,model/tf.math.multiply_73/Mul,0.289070489719487
DEPTHWISE_CONV_2D,652,47040.0,0.07569539,0.00010505006,0.1778088,0.0057299607,0.26193598,-18,model/tf.math.add_30/Add;model/tf.compat.v1.nn.depthwise_conv2d_5/depthwise;Const_1121,0.28898856843675996
LOGISTIC,488,6.0,0.0010126801,4.13753e-05,0.0016437066,1.273769e-06,0.00390625,-128,model/tf.math.sigmoid_10/Sigmoid,0.2889251203755049
DEPTHWISE_CONV_2D,1008,32928.0,0.11038817,-0.00087865395,0.24562442,0.0121867135,0.3821403,-58,model/tf.math.add_68/Add;model/tf.compat.v1.nn.depthwise_conv2d_11/depthwise;Const_511,0.2888819855641438
MEAN,956,672.0,0.0049058814,2.23146e-05,0.008485065,2.4114508e-05,0.01701061,-112,model/tf.math.reduce_mean_10/Mean,0.2886817405412555
MEAN,1020,672.0,0.009565952,0.00018958905,0.016590627,9.169197e-05,0.03319197,-120,model/tf.math.reduce_mean_11/Mean,0.2884912347737145
MUL,1180,56448.0,0.022258375,-0.002634917,0.038645864,0.000502408,0.077698864,-124,model/tf.math.multiply_164/Mul,0.28847860142121495
LOGISTIC,672,10.0,0.0010576773,-8.064695e-05,0.0017917878,1.2696787e-06,0.00390625,-128,model/tf.math.sigmoid_22/Sigmoid,0.28846085225416634
ADD,512,75264.0,0.21241619,-0.0024878783,0.36490837,0.045148667,0.73672056,8,model/tf.math.add_16/Add,0.28841621699540754
CONV_2D,456,451584.0,0.14731742,0.0003388227,0.4224597,0.021703525,0.510952,38,model/tf.math.add_10/Add;model/tf.nn.convolution_8/convolution;Const_1461,0.28832681498521
LOGISTIC,500,144.0,0.0011203822,-7.939678e-05,0.0019094115,1.2684031e-06,0.00390625,-128,model/tf.math.sigmoid_11/Sigmoid,0.2883159127790209
CONV_2D,576,188160.0,0.07831756,-0.0003392819,0.23052913,0.0061338334,0.27165043,9,model/tf.math.add_22/Add;model/tf.nn.convolution_16/convolution;Const_1251,0.2883072682872253
ADD,632,31360.0,0.285864,-0.00028901995,0.49426064,0.08172184,0.9917767,-38,model/tf.math.add_28/Add,0.288240609252349
